newNode1,newNode2,connect
松下(Panasonic),三洋(SANYO),旗下
海信(Hisense),科龙(KELON),收购
海信(Hisense),容声(Ronshen),旗下
科龙(KELON),容声(Ronshen),旗下
海尔(Haier),卡萨帝(Casarte),旗下
康佳(KONKA),新飞(Frestec),收购
小米(MI),云米(VIOMI),合作
美的(Midea),比佛利(BEVERLY),合作
美的(Midea),小天鹅(LittleSwan),收购
美的(Midea),华凌,旗下
小天鹅(LittleSwan),荣事达(Royalstar),收购
三洋(SANYO),荣事达(Royalstar),合资
小米(MI),TOKIT,合作
小米(MI),米家,旗下
