company name,industry,registered,scale
爱拜物流,-,-,批发、零售：皮革制品。【国家法律、法规禁止的，不得经营；应经专项审批的，未获得审批前不得经营】
百世快运,多式联运和运输代理业,100万(元),国内道路货运代理；仓储服务（不含危险化学品、粮油）；道路货物运输。（企业依法自主选择经营项目，开展经营活动；道路货物运输以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
百世快递,邮政业,50万(元),国内快递（依法须经批准的项目经相关部门批准后方可开展生产经营活动）
包裹/平邮/挂号信,None,0,None
百福东方物流,道路运输业,100万(元),普通货运，国内道路运输代理，仓储（不含危险及违禁物品）。 （依法须经批准的项目，经相关部门批准后方可开展经营活动）。
百千诚物流,道路运输业,"1,000万(元)",国际货运(陆路、空运、海运)代理及相关咨询；货物与技术进出口业务。^普通货运；代理国际快递业务。
佰麒快递,None,0,None
百成大达物流,道路运输业,"12,800万(元)",道路普通货运；站场、货运站（场）经营（货运代理）；（按《道路运输经营许可证》核定的范围和期限经营）；货物装卸、人力搬运；普通货物仓储；物流信息咨询；国内货运代理；办公用品、办公设备、机械设备的销售；车辆租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
百腾物流,多式联运和运输代理业,"1,000万(元)",国内道路货运代理；陆路国际货运代理；搬运、装卸（不含危险品，不含港口装卸）；国内贸易；经济信息咨询（不含证券、期货、保险及其它金融业务）；代理报关业务；经营进出口业务；研究、开发、技术服务，计算机信息技术、网络物流技术、无线通讯技术；供应链管理及相关配套服务；物流信息咨询；航空国际货运代理。^货物专用运输（冷藏保鲜），普通货运，仓储服务、货物配送（均不含危险物品）。
百事亨通,邮政业,"5,000万(元)",国内快递（邮政企业专营业务除外）；国内货物运输代理、普通货运、代办仓储服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
堡昕德速递,邮政业,100万(元),国内快递（邮政企业专营业务除外），设计、制作各类广告，商务咨询（除经纪），会展服务，电气设备、机电设备、日用百货、五金交电、办公用品、花卉、工艺礼品的销售，货物运输代理服务、仓储服务、人力装卸服务。 【依法须经批准的项目，经相关部门批准后方可开展经营活动】
北极星快运,None,0,None
